Timestamp,gender,edu_level,study_time,study_method,tech_use,best_time,break_freq,prep_method,sleep_time,exercise,diet,focus,phone_use,env,sm_use,gpa_year,gpa_semester
4/3/2025 21:44:03,Female,University,2-4 hours,"Self-study, Tutoring, Online learning",Yes,Evening,Almost no breaks,1-2 weeks before,> 8 hours,Never,No specific diet,No,Yes,Soft background music,< 15 min/hour,9.5,9.1
4/3/2025 21:56:41,Male,University,2-4 hours,"Self-study, Tutoring, Online learning",Yes,Evening,5 min/hour,> 2 weeks before,6-8 hours,1-2 times,Balanced diet,Yes,Yes,Silent,15-30 min/hour,5.25,8.0
4/3/2025 22:04:47,Male,Graduated,> 4 hours,"Self-study, Tutoring, Online learning",Yes,Late night,15+ min/hour,1-2 weeks before,4-6 hours,Never,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,7.5,10.0
4/3/2025 22:04:58,Female,High school,1-2 hours,"Self-study, Online learning",Yes,Late night,10-15 min/hour,1-2 weeks before,> 8 hours,3-4 times,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,8.05,6.0
4/3/2025 22:07:50,Male,University,2-4 hours,"Group study, Online learning",Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,Never,No specific diet,Yes,No,Soft background music,15-30 min/hour,7.475,4.25
4/3/2025 22:08:02,Male,University,2-4 hours,"Self-study, Group study, Online learning",Yes,Late night,10-15 min/hour,1-2 weeks before,> 8 hours,1-2 times,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,8.1,7.0
4/3/2025 22:10:51,Female,University,> 4 hours,"Self-study, Group study, Tutoring",Yes,Late night,5 min/hour,1-2 weeks before,4-6 hours,Never,Balanced diet,No,Yes,Silent,< 15 min/hour,8.31,8.58
4/3/2025 22:16:09,Male,University,2-4 hours,"Self-study, Group study, Tutoring, Online learning",Yes,Morning,Almost no breaks,> 2 weeks before,4-6 hours,Never,No specific diet,Yes,No,Soft background music,< 15 min/hour,7.5,8.0
4/3/2025 22:18:33,Female,University,2-4 hours,Self-study,Yes,Evening,Almost no breaks,1-2 weeks before,4-6 hours,3-4 times,Balanced diet,Yes,Yes,Silent,Never,8.5,8.0
4/3/2025 22:18:34,Male,University,2-4 hours,Self-study,Yes,Evening,15+ min/hour,> 2 weeks before,6-8 hours,5+ times,No specific diet,Yes,Yes,Silent,< 15 min/hour,9.525,9.175
4/3/2025 22:20:43,Female,University,> 4 hours,"Self-study, Group study",Yes,Afternoon,10-15 min/hour,1-2 weeks before,4-6 hours,1-2 times,Balanced diet,Yes,Yes,Soft background music,< 15 min/hour,8.3,8.55
4/3/2025 22:20:57,Male,University,2-4 hours,"Self-study, Group study, Online learning",Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,5+ times,No specific diet,Yes,Yes,Soft background music,15-30 min/hour,8.03,8.14
4/3/2025 22:22:36,Male,University,2-4 hours,"Self-study, Online learning",Yes,Afternoon,15+ min/hour,1-2 weeks before,6-8 hours,1-2 times,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,8.0,8.0
4/3/2025 22:30:17,Male,University,1-2 hours,Self-study,Yes,Evening,5 min/hour,1 day before,4-6 hours,1-2 times,Balanced diet,No,Yes,Silent,Never,2.2,2.2
4/3/2025 22:32:48,Male,University,2-4 hours,Self-study,Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,5+ times,No specific diet,Yes,No,Soft background music,< 15 min/hour,7.3,7.1
4/3/2025 22:34:38,Female,Middle school,2-4 hours,Online learning,Yes,Morning,5 min/hour,1-2 weeks before,4-6 hours,Never,No specific diet,Yes,Yes,Silent,< 15 min/hour,7.8,7.5
